Model,DPO2012
Firmware Version,1.39

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,1.4e+06,
Record Length,5200,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.3840e+01,0.904,0.88
-1.3833e+01,0.904,0.944
-1.3825e+01,0.904,0.88
-1.3817e+01,0.912,0.936
-1.3810e+01,0.904,0.88
-1.3802e+01,0.912,0.944
-1.3794e+01,0.912,0.88
-1.3786e+01,0.912,0.936
-1.3779e+01,0.912,0.88
-1.3771e+01,0.912,0.944
-1.3763e+01,0.912,0.88
-1.3756e+01,0.912,0.944
-1.3748e+01,0.912,0.88
-1.3740e+01,0.912,0.944
-1.3733e+01,0.912,0.88
-1.3725e+01,0.912,0.936
-1.3717e+01,0.912,0.88
-1.3710e+01,0.912,0.944
-1.3702e+01,0.912,0.888
-1.3694e+01,0.912,0.944
-1.3687e+01,0.912,0.88
-1.3679e+01,0.912,0.936
-1.3671e+01,0.912,0.888
-1.3664e+01,0.912,0.944
-1.3656e+01,0.912,0.88
-1.3648e+01,0.912,0.936
-1.3641e+01,0.912,0.88
-1.3633e+01,0.912,0.944
-1.3625e+01,0.912,0.888
-1.3618e+01,0.912,0.936
-1.3610e+01,0.912,0.888
-1.3602e+01,0.912,0.944
-1.3594e+01,0.912,0.888
-1.3587e+01,0.912,0.944
-1.3579e+01,0.912,0.888
-1.3571e+01,0.912,0.944
-1.3564e+01,0.912,0.888
-1.3556e+01,0.912,0.944
-1.3548e+01,0.912,0.88
-1.3541e+01,0.912,0.936
-1.3533e+01,0.912,0.888
-1.3525e+01,0.912,0.944
-1.3518e+01,0.912,0.888
-1.3510e+01,0.912,0.936
-1.3502e+01,0.92,0.888
-1.3495e+01,0.92,0.944
-1.3487e+01,0.92,0.888
-1.3479e+01,0.92,0.944
-1.3472e+01,0.92,0.888
-1.3464e+01,0.92,0.944
-1.3456e+01,0.92,0.888
-1.3449e+01,0.92,0.952
-1.3441e+01,0.92,0.888
-1.3433e+01,0.92,0.944
-1.3425e+01,0.92,0.896
-1.3418e+01,0.92,0.952
-1.3410e+01,0.92,0.888
-1.3402e+01,0.92,0.952
-1.3395e+01,0.92,0.896
-1.3387e+01,0.92,0.952
-1.3379e+01,0.92,0.896
-1.3372e+01,0.92,0.952
-1.3364e+01,0.92,0.896
-1.3356e+01,0.92,0.952
-1.3349e+01,0.92,0.888
-1.3341e+01,0.92,0.952
-1.3333e+01,0.92,0.896
-1.3326e+01,0.92,0.952
-1.3318e+01,0.92,0.896
-1.3310e+01,0.92,0.96
-1.3303e+01,0.92,0.896
-1.3295e+01,0.92,0.952
-1.3287e+01,0.92,0.896
-1.3280e+01,0.92,0.952
-1.3272e+01,0.92,0.888
-1.3264e+01,0.92,0.952
-1.3257e+01,0.92,0.896
-1.3249e+01,0.92,0.952
-1.3241e+01,0.92,0.896
-1.3233e+01,0.92,0.952
-1.3226e+01,0.928,0.896
-1.3218e+01,0.928,0.952
-1.3210e+01,0.928,0.896
-1.3203e+01,0.928,0.96
-1.3195e+01,0.928,0.896
-1.3187e+01,0.928,0.952
-1.3180e+01,0.928,0.896
-1.3172e+01,0.928,0.96
-1.3164e+01,0.928,0.896
-1.3157e+01,0.928,0.952
-1.3149e+01,0.928,0.896
-1.3141e+01,0.928,0.96
-1.3134e+01,0.928,0.896
-1.3126e+01,0.928,0.952
-1.3118e+01,0.928,0.896
-1.3111e+01,0.928,0.96
-1.3103e+01,0.928,0.896
-1.3095e+01,0.928,0.96
-1.3088e+01,0.928,0.896
-1.3080e+01,0.928,0.952
-1.3072e+01,0.928,0.904
-1.3065e+01,0.928,0.96
-1.3057e+01,0.928,0.896
-1.3049e+01,0.928,0.952
-1.3041e+01,0.928,0.904
-1.3034e+01,0.928,0.96
-1.3026e+01,0.928,0.896
-1.3018e+01,0.928,0.952
-1.3011e+01,0.928,0.904
-1.3003e+01,0.928,0.96
-1.2995e+01,0.928,0.904
-1.2988e+01,0.928,0.96
-1.2980e+01,0.928,0.904
-1.2972e+01,0.928,0.96
-1.2965e+01,0.928,0.904
-1.2957e+01,0.928,0.968
-1.2949e+01,0.928,0.904
-1.2942e+01,0.928,0.96
-1.2934e+01,0.928,0.904
-1.2926e+01,0.928,0.96
-1.2919e+01,0.928,0.904
-1.2911e+01,0.936,0.96
-1.2903e+01,0.928,0.904
-1.2896e+01,0.936,0.968
-1.2888e+01,0.928,0.904
-1.2880e+01,0.936,0.968
-1.2873e+01,0.936,0.904
-1.2865e+01,0.936,0.968
-1.2857e+01,0.936,0.912
-1.2849e+01,0.936,0.968
-1.2842e+01,0.936,0.904
-1.2834e+01,0.936,0.968
-1.2826e+01,0.936,0.912
-1.2819e+01,0.936,0.968
-1.2811e+01,0.936,0.904
-1.2803e+01,0.936,0.96
-1.2796e+01,0.936,0.912
-1.2788e+01,0.936,0.968
-1.2780e+01,0.936,0.904
-1.2773e+01,0.936,0.96
-1.2765e+01,0.936,0.904
-1.2757e+01,0.936,0.968
-1.2750e+01,0.936,0.912
-1.2742e+01,0.936,0.96
-1.2734e+01,0.936,0.904
-1.2727e+01,0.936,0.968
-1.2719e+01,0.936,0.912
-1.2711e+01,0.936,0.968
-1.2704e+01,0.936,0.904
-1.2696e+01,0.936,0.96
-1.2688e+01,0.936,0.912
-1.2680e+01,0.936,0.968
-1.2673e+01,0.936,0.904
-1.2665e+01,0.936,0.968
-1.2657e+01,0.936,0.912
-1.2650e+01,0.936,0.976
-1.2642e+01,0.936,0.912
-1.2634e+01,0.936,0.968
-1.2627e+01,0.936,0.912
-1.2619e+01,0.936,0.968
-1.2611e+01,0.936,0.912
-1.2604e+01,0.944,0.968
-1.2596e+01,0.936,0.912
-1.2588e+01,0.936,0.968
-1.2581e+01,0.944,0.912
-1.2573e+01,0.944,0.968
-1.2565e+01,0.944,0.912
-1.2558e+01,0.944,0.968
-1.2550e+01,0.944,0.912
-1.2542e+01,0.944,0.976
-1.2535e+01,0.944,0.912
-1.2527e+01,0.944,0.968
-1.2519e+01,0.944,0.92
-1.2512e+01,0.944,0.968
-1.2504e+01,0.944,0.912
-1.2496e+01,0.944,0.976
-1.2488e+01,0.944,0.912
-1.2481e+01,0.944,0.976
-1.2473e+01,0.944,0.912
-1.2465e+01,0.944,0.976
-1.2458e+01,0.944,0.912
-1.2450e+01,0.944,0.976
-1.2442e+01,0.944,0.912
-1.2435e+01,0.944,0.976
-1.2427e+01,0.944,0.92
-1.2419e+01,0.944,0.968
-1.2412e+01,0.944,0.92
-1.2404e+01,0.944,0.976
-1.2396e+01,0.944,0.912
-1.2389e+01,0.944,0.976
-1.2381e+01,0.944,0.92
-1.2373e+01,0.944,0.976
-1.2366e+01,0.944,0.92
-1.2358e+01,0.944,0.976
-1.2350e+01,0.944,0.912
-1.2343e+01,0.944,0.976
-1.2335e+01,0.944,0.92
-1.2327e+01,0.944,0.976
-1.2320e+01,0.944,0.92
-1.2312e+01,0.944,0.968
-1.2304e+01,0.944,0.92
-1.2296e+01,0.944,0.984
-1.2289e+01,0.944,0.92
-1.2281e+01,0.944,0.976
-1.2273e+01,0.952,0.92
-1.2266e+01,0.952,0.984
-1.2258e+01,0.944,0.92
-1.2250e+01,0.952,0.976
-1.2243e+01,0.952,0.92
-1.2235e+01,0.952,0.984
-1.2227e+01,0.952,0.92
-1.2220e+01,0.952,0.976
-1.2212e+01,0.952,0.92
-1.2204e+01,0.952,0.976
-1.2197e+01,0.952,0.928
-1.2189e+01,0.952,0.984
-1.2181e+01,0.952,0.92
-1.2174e+01,0.952,0.976
-1.2166e+01,0.952,0.92
-1.2158e+01,0.952,0.984
-1.2151e+01,0.952,0.92
-1.2143e+01,0.952,0.976
-1.2135e+01,0.952,0.928
-1.2127e+01,0.952,0.984
-1.2120e+01,0.952,0.928
-1.2112e+01,0.952,0.984
-1.2104e+01,0.952,0.928
-1.2097e+01,0.952,0.976
-1.2089e+01,0.952,0.928
-1.2081e+01,0.952,0.984
-1.2074e+01,0.952,0.928
-1.2066e+01,0.952,0.976
-1.2058e+01,0.952,0.928
-1.2051e+01,0.952,0.984
-1.2043e+01,0.952,0.928
-1.2035e+01,0.952,0.984
-1.2028e+01,0.952,0.936
-1.2020e+01,0.952,0.984
-1.2012e+01,0.952,0.928
-1.2005e+01,0.96,0.984
-1.1997e+01,0.952,0.936
-1.1989e+01,0.952,0.984
-1.1982e+01,0.952,0.92
-1.1974e+01,0.952,0.984
-1.1966e+01,0.96,0.928
-1.1959e+01,0.96,0.984
-1.1951e+01,0.96,0.928
-1.1943e+01,0.96,0.992
-1.1935e+01,0.96,0.928
-1.1928e+01,0.96,0.984
-1.1920e+01,0.96,0.936
-1.1912e+01,0.96,0.992
-1.1905e+01,0.96,0.928
-1.1897e+01,0.96,0.984
-1.1889e+01,0.96,0.936
-1.1882e+01,0.96,0.992
-1.1874e+01,0.96,0.936
-1.1866e+01,0.96,0.984
-1.1859e+01,0.96,0.928
-1.1851e+01,0.96,0.992
-1.1843e+01,0.96,0.936
-1.1836e+01,0.96,0.992
-1.1828e+01,0.96,0.936
-1.1820e+01,0.96,0.984
-1.1813e+01,0.96,0.936
-1.1805e+01,0.96,0.992
-1.1797e+01,0.96,0.928
-1.1790e+01,0.96,0.984
-1.1782e+01,0.96,0.928
-1.1774e+01,0.96,0.992
-1.1767e+01,0.96,0.936
-1.1759e+01,0.96,0.984
-1.1751e+01,0.96,0.936
-1.1743e+01,0.96,0.992
-1.1736e+01,0.96,0.936
-1.1728e+01,0.96,0.992
-1.1720e+01,0.96,0.936
-1.1713e+01,0.96,0.984
-1.1705e+01,0.96,0.936
-1.1697e+01,0.96,0.992
-1.1690e+01,0.96,0.936
-1.1682e+01,0.96,0.992
-1.1674e+01,0.96,0.944
-1.1667e+01,0.96,0.992
-1.1659e+01,0.96,0.936
-1.1651e+01,0.96,0.992
-1.1644e+01,0.968,0.944
-1.1636e+01,0.968,0.992
-1.1628e+01,0.968,0.936
-1.1621e+01,0.968,0.992
-1.1613e+01,0.968,0.936
-1.1605e+01,0.968,0.992
-1.1598e+01,0.968,0.936
-1.1590e+01,0.968,0.992
-1.1582e+01,0.968,0.936
-1.1575e+01,0.968,0.992
-1.1567e+01,0.968,0.944
-1.1559e+01,0.968,1
-1.1551e+01,0.968,0.936
-1.1544e+01,0.968,0.992
-1.1536e+01,0.968,0.944
-1.1528e+01,0.968,0.992
-1.1521e+01,0.968,0.936
-1.1513e+01,0.968,0.992
-1.1505e+01,0.968,0.944
-1.1498e+01,0.968,0.992
-1.1490e+01,0.968,0.944
-1.1482e+01,0.968,1
-1.1475e+01,0.968,0.936
-1.1467e+01,0.968,1
-1.1459e+01,0.968,0.944
-1.1452e+01,0.968,0.992
-1.1444e+01,0.968,0.944
-1.1436e+01,0.968,0.992
-1.1429e+01,0.968,0.944
-1.1421e+01,0.968,1
-1.1413e+01,0.968,0.944
-1.1406e+01,0.968,0.992
-1.1398e+01,0.968,0.944
-1.1390e+01,0.968,1
-1.1382e+01,0.968,0.944
-1.1375e+01,0.976,0.992
-1.1367e+01,0.968,0.944
-1.1359e+01,0.968,1
-1.1352e+01,0.968,0.944
-1.1344e+01,0.976,1
-1.1336e+01,0.976,0.944
-1.1329e+01,0.968,0.992
-1.1321e+01,0.976,0.944
-1.1313e+01,0.976,1
-1.1306e+01,0.968,0.944
-1.1298e+01,0.976,1
-1.1290e+01,0.976,0.952
-1.1283e+01,0.976,1
-1.1275e+01,0.976,0.944
-1.1267e+01,0.976,0.992
-1.1260e+01,0.976,0.944
-1.1252e+01,0.976,1.008
-1.1244e+01,0.976,0.944
-1.1237e+01,0.976,1
-1.1229e+01,0.976,0.944
-1.1221e+01,0.976,1
-1.1214e+01,0.976,0.944
-1.1206e+01,0.976,1
-1.1198e+01,0.976,0.944
-1.1190e+01,0.976,1
-1.1183e+01,0.976,0.952
-1.1175e+01,0.976,1
-1.1167e+01,0.976,0.944
-1.1160e+01,0.976,1
-1.1152e+01,0.976,0.952
-1.1144e+01,0.976,1.008
-1.1137e+01,0.976,0.944
-1.1129e+01,0.976,1.008
-1.1121e+01,0.976,0.952
-1.1114e+01,0.976,1
-1.1106e+01,0.976,0.944
-1.1098e+01,0.976,1.008
-1.1091e+01,0.976,0.952
-1.1083e+01,0.976,1
-1.1075e+01,0.976,0.952
-1.1068e+01,0.976,1.008
-1.1060e+01,0.976,0.952
-1.1052e+01,0.976,1
-1.1045e+01,0.976,0.952
-1.1037e+01,0.976,1.008
-1.1029e+01,0.976,0.952
-1.1022e+01,0.976,1
-1.1014e+01,0.976,0.952
-1.1006e+01,0.984,1.008
-1.0998e+01,0.976,0.952
-1.0991e+01,0.976,1.008
-1.0983e+01,0.984,0.952
-1.0975e+01,0.984,1.008
-1.0968e+01,0.984,0.96
-1.0960e+01,0.984,1.008
-1.0952e+01,0.984,0.952
-1.0945e+01,0.984,1
-1.0937e+01,0.984,0.96
-1.0929e+01,0.984,1.008
-1.0922e+01,0.984,0.952
-1.0914e+01,0.984,1
-1.0906e+01,0.984,0.952
-1.0899e+01,0.984,1.008
-1.0891e+01,0.984,0.952
-1.0883e+01,0.984,1.008
-1.0876e+01,0.984,0.952
-1.0868e+01,0.984,1.008
-1.0860e+01,0.984,0.96
-1.0853e+01,0.984,1.008
-1.0845e+01,0.984,0.952
-1.0837e+01,0.984,1.008
-1.0829e+01,0.984,0.96
-1.0822e+01,0.984,1.016
-1.0814e+01,0.984,0.952
-1.0806e+01,0.984,1.008
-1.0799e+01,0.984,0.96
-1.0791e+01,0.984,1.008
-1.0783e+01,0.984,0.96
-1.0776e+01,0.984,1.008
-1.0768e+01,0.984,0.96
-1.0760e+01,0.984,1.008
-1.0753e+01,0.984,0.96
-1.0745e+01,0.984,1.008
-1.0737e+01,0.984,0.96
-1.0730e+01,0.984,1.016
-1.0722e+01,0.984,0.96
-1.0714e+01,0.992,1.016
-1.0707e+01,0.992,0.96
-1.0699e+01,0.984,1.016
-1.0691e+01,0.992,0.96
-1.0684e+01,0.992,1.016
-1.0676e+01,0.992,0.96
-1.0668e+01,0.992,1.008
-1.0661e+01,0.992,0.96
-1.0653e+01,0.992,1.008
-1.0645e+01,0.992,0.96
-1.0637e+01,0.992,1.016
-1.0630e+01,0.992,0.96
-1.0622e+01,0.992,1.016
-1.0614e+01,0.992,0.968
-1.0607e+01,0.992,1.016
-1.0599e+01,0.992,0.96
-1.0591e+01,0.992,1.016
-1.0584e+01,0.992,0.968
-1.0576e+01,0.992,1.016
-1.0568e+01,0.992,0.96
-1.0561e+01,0.992,1.016
-1.0553e+01,0.992,0.968
-1.0545e+01,0.992,1.016
-1.0538e+01,0.992,0.96
-1.0530e+01,0.992,1.016
-1.0522e+01,0.992,0.968
-1.0515e+01,0.992,1.016
-1.0507e+01,0.992,0.96
-1.0499e+01,0.992,1.016
-1.0492e+01,0.992,0.96
-1.0484e+01,0.992,1.016
-1.0476e+01,0.992,0.968
-1.0469e+01,0.992,1.016
-1.0461e+01,0.992,0.96
-1.0453e+01,0.992,1.016
-1.0445e+01,0.992,0.968
-1.0438e+01,0.992,1.016
-1.0430e+01,0.992,0.968
-1.0422e+01,0.992,1.016
-1.0415e+01,0.992,0.968
-1.0407e+01,0.992,1.016
-1.0399e+01,0.992,0.96
-1.0392e+01,0.992,1.016
-1.0384e+01,0.992,0.968
-1.0376e+01,0.992,1.016
-1.0369e+01,1,0.968
-1.0361e+01,0.992,1.016
-1.0353e+01,0.992,0.968
-1.0346e+01,0.992,1.016
-1.0338e+01,0.992,0.968
-1.0330e+01,1,1.016
-1.0323e+01,0.992,0.96
-1.0315e+01,1,1.016
-1.0307e+01,1,0.976
-1.0300e+01,1,1.016
-1.0292e+01,1,0.976
-1.0284e+01,1,1.016
-1.0276e+01,1,0.976
-1.0269e+01,1,1.024
-1.0261e+01,1,0.968
-1.0253e+01,1,1.024
-1.0246e+01,1,0.976
-1.0238e+01,1,1.024
-1.0230e+01,1,0.968
-1.0223e+01,1,1.024
-1.0215e+01,1,0.976
-1.0207e+01,1,1.016
-1.0200e+01,1,0.976
-1.0192e+01,1,1.024
-1.0184e+01,1,0.968
-1.0177e+01,1,1.024
-1.0169e+01,1,0.976
-1.0161e+01,1,1.024
-1.0154e+01,1,0.976
-1.0146e+01,1,1.024
-1.0138e+01,1,0.976
-1.0131e+01,1,1.024
-1.0123e+01,1,0.976
-1.0115e+01,1,1.024
-1.0108e+01,1,0.976
-1.0100e+01,1,1.024
-1.0092e+01,1,0.976
-1.0084e+01,1,1.024
-1.0077e+01,1,0.976
-1.0069e+01,1,1.024
-1.0061e+01,1,0.976
-1.0054e+01,1,1.024
-1.0046e+01,1,0.976
-1.0038e+01,1,1.024
-1.0031e+01,1,0.976
-1.0023e+01,1,1.024
-1.0015e+01,1,0.976
-1.0008e+01,1,1.024
-1.0000e+01,1,0.976
-9.9923e+00,1,1.024
-9.9846e+00,1,0.976
-9.9770e+00,1,1.024
-9.9693e+00,1,0.976
-9.9616e+00,1,1.024
-9.9539e+00,1.008,0.984
-9.9462e+00,1.008,1.032
-9.9386e+00,1.008,0.976
-9.9309e+00,1.008,1.024
-9.9232e+00,1.008,0.984
-9.9155e+00,1.008,1.024
-9.9078e+00,1.008,0.976
-9.9002e+00,1.008,1.024
-9.8925e+00,1.008,0.976
-9.8848e+00,1.008,1.024
-9.8771e+00,1.008,0.976
-9.8694e+00,1.008,1.024
-9.8618e+00,1.008,0.976
-9.8541e+00,1.008,1.024
-9.8464e+00,1.008,0.976
-9.8387e+00,1.008,1.024
-9.8310e+00,1.008,0.976
-9.8233e+00,1.008,1.024
-9.8157e+00,1.008,0.984
-9.8080e+00,1.008,1.032
-9.8003e+00,1.008,0.984
-9.7926e+00,1.008,1.032
-9.7849e+00,1.008,0.984
-9.7773e+00,1.008,1.032
-9.7696e+00,1.008,0.984
-9.7619e+00,1.008,1.032
-9.7542e+00,1.008,0.984
-9.7465e+00,1.008,1.032
-9.7389e+00,1.008,0.976
-9.7312e+00,1.008,1.032
-9.7235e+00,1.008,0.984
-9.7158e+00,1.008,1.032
-9.7081e+00,1.008,0.984
-9.7005e+00,1.008,1.032
-9.6928e+00,1.008,0.976
-9.6851e+00,1.008,1.032
-9.6774e+00,1.008,0.984
-9.6697e+00,1.008,1.032
-9.6621e+00,1.008,0.976
-9.6544e+00,1.008,1.032
-9.6467e+00,1.008,0.984
-9.6390e+00,1.008,1.032
-9.6313e+00,1.008,0.984
-9.6237e+00,1.008,1.032
-9.6160e+00,1.008,0.984
-9.6083e+00,1.008,1.032
-9.6006e+00,1.008,0.992
-9.5929e+00,1.008,1.032
-9.5853e+00,1.008,0.984
-9.5776e+00,1.008,1.032
-9.5699e+00,1.008,0.992
-9.5622e+00,1.008,1.032
-9.5545e+00,1.008,0.984
-9.5469e+00,1.008,1.032
-9.5392e+00,1.008,0.992
-9.5315e+00,1.008,1.032
-9.5238e+00,1.016,0.984
-9.5161e+00,1.016,1.032
-9.5084e+00,1.016,0.984
-9.5008e+00,1.008,1.032
-9.4931e+00,1.016,0.984
-9.4854e+00,1.016,1.032
-9.4777e+00,1.016,0.984
-9.4700e+00,1.016,1.032
-9.4624e+00,1.016,0.992
-9.4547e+00,1.016,1.032
-9.4470e+00,1.016,0.984
-9.4393e+00,1.016,1.032
-9.4316e+00,1.016,0.992
-9.4240e+00,1.016,1.04
-9.4163e+00,1.016,0.984
-9.4086e+00,1.016,1.04
-9.4009e+00,1.016,0.992
-9.3932e+00,1.016,1.032
-9.3856e+00,1.016,0.984
-9.3779e+00,1.016,1.04
-9.3702e+00,1.016,0.992
-9.3625e+00,1.016,1.04
-9.3548e+00,1.016,0.984
-9.3472e+00,1.016,1.04
-9.3395e+00,1.016,0.992
-9.3318e+00,1.016,1.04
-9.3241e+00,1.016,0.992
-9.3164e+00,1.016,1.032
-9.3088e+00,1.016,0.992
-9.3011e+00,1.016,1.04
-9.2934e+00,1.016,0.992
-9.2857e+00,1.016,1.04
-9.2780e+00,1.016,0.992
-9.2704e+00,1.016,1.032
-9.2627e+00,1.016,0.992
-9.2550e+00,1.016,1.04
-9.2473e+00,1.016,0.992
-9.2396e+00,1.016,1.04
-9.2320e+00,1.016,0.992
-9.2243e+00,1.016,1.04
-9.2166e+00,1.016,0.992
-9.2089e+00,1.016,1.04
-9.2012e+00,1.016,0.992
-9.1935e+00,1.016,1.04
-9.1859e+00,1.016,0.992
-9.1782e+00,1.016,1.04
-9.1705e+00,1.016,0.992
-9.1628e+00,1.016,1.04
-9.1551e+00,1.016,0.992
-9.1475e+00,1.016,1.04
-9.1398e+00,1.016,0.992
-9.1321e+00,1.016,1.04
-9.1244e+00,1.016,0.992
-9.1167e+00,1.016,1.04
-9.1091e+00,1.016,1
-9.1014e+00,1.016,1.04
-9.0937e+00,1.016,0.992
-9.0860e+00,1.016,1.04
-9.0783e+00,1.016,1
-9.0707e+00,1.016,1.04
-9.0630e+00,1.016,0.992
-9.0553e+00,1.016,1.04
-9.0476e+00,1.016,1
-9.0399e+00,1.016,1.048
-9.0323e+00,1.016,1
-9.0246e+00,1.016,1.04
-9.0169e+00,1.016,1
-9.0092e+00,1.016,1.048
-9.0015e+00,1.016,0.992
-8.9939e+00,1.016,1.04
-8.9862e+00,1.024,1
-8.9785e+00,1.024,1.048
-8.9708e+00,1.024,0.992
-8.9631e+00,1.024,1.048
-8.9555e+00,1.024,0.992
-8.9478e+00,1.024,1.04
-8.9401e+00,1.024,1
-8.9324e+00,1.016,1.04
-8.9247e+00,1.016,1
-8.9171e+00,1.024,1.04
-8.9094e+00,1.024,1
-8.9017e+00,1.024,1.04
-8.8940e+00,1.024,0.992
-8.8863e+00,1.024,1.04
-8.8786e+00,1.024,1
-8.8710e+00,1.024,1.04
-8.8633e+00,1.024,1
-8.8556e+00,1.024,1.04
-8.8479e+00,1.024,1
-8.8402e+00,1.024,1.04
-8.8326e+00,1.024,1
-8.8249e+00,1.024,1.048
-8.8172e+00,1.024,1
-8.8095e+00,1.024,1.04
-8.8018e+00,1.024,1
-8.7942e+00,1.024,1.048
-8.7865e+00,1.024,1
-8.7788e+00,1.024,1.048
-8.7711e+00,1.024,1
-8.7634e+00,1.024,1.04
-8.7558e+00,1.024,1
-8.7481e+00,1.024,1.04
-8.7404e+00,1.024,1
-8.7327e+00,1.024,1.04
-8.7250e+00,1.024,1
-8.7174e+00,1.024,1.048
-8.7097e+00,1.024,1
-8.7020e+00,1.024,1.048
-8.6943e+00,1.024,1
-8.6866e+00,1.024,1.048
-8.6790e+00,1.024,1
-8.6713e+00,1.024,1.048
-8.6636e+00,1.024,1
-8.6559e+00,1.024,1.048
-8.6482e+00,1.024,1
-8.6406e+00,1.024,1.048
-8.6329e+00,1.024,1
-8.6252e+00,1.024,1.048
-8.6175e+00,1.024,1.008
-8.6098e+00,1.024,1.048
-8.6022e+00,1.024,1
-8.5945e+00,1.024,1.048
-8.5868e+00,1.024,1
-8.5791e+00,1.024,1.048
-8.5714e+00,1.024,1
-8.5637e+00,1.024,1.048
-8.5561e+00,1.024,1
-8.5484e+00,1.024,1.048
-8.5407e+00,1.024,1
-8.5330e+00,1.024,1.048
-8.5253e+00,1.024,1
-8.5177e+00,1.024,1.048
-8.5100e+00,1.024,1
-8.5023e+00,1.024,1.048
-8.4946e+00,1.024,1
-8.4869e+00,1.024,1.048
-8.4793e+00,1.024,1
-8.4716e+00,1.024,1.048
-8.4639e+00,1.024,1.008
-8.4562e+00,1.024,1.048
-8.4485e+00,1.024,1.008
-8.4409e+00,1.024,1.048
-8.4332e+00,1.024,1
-8.4255e+00,1.024,1.048
-8.4178e+00,1.024,1.008
-8.4101e+00,1.024,1.048
-8.4025e+00,1.024,1
-8.3948e+00,1.024,1.048
-8.3871e+00,1.024,1.008
-8.3794e+00,1.024,1.048
-8.3717e+00,1.024,1
-8.3641e+00,1.024,1.048
-8.3564e+00,1.024,1.008
-8.3487e+00,1.024,1.048
-8.3410e+00,1.024,1
-8.3333e+00,1.024,1.056
-8.3257e+00,1.024,1
-8.3180e+00,1.024,1.048
-8.3103e+00,1.024,1.008
-8.3026e+00,1.024,1.056
-8.2949e+00,1.024,1
-8.2873e+00,1.024,1.056
-8.2796e+00,1.024,1.008
-8.2719e+00,1.024,1.048
-8.2642e+00,1.024,1.008
-8.2565e+00,1.024,1.048
-8.2488e+00,1.024,1.008
-8.2412e+00,1.032,1.048
-8.2335e+00,1.032,1.008
-8.2258e+00,1.032,1.048
-8.2181e+00,1.024,1
-8.2104e+00,1.032,1.048
-8.2028e+00,1.024,1.008
-8.1951e+00,1.032,1.048
-8.1874e+00,1.024,1.008
-8.1797e+00,1.024,1.048
-8.1720e+00,1.032,1.008
-8.1644e+00,1.024,1.056
-8.1567e+00,1.032,1.008
-8.1490e+00,1.032,1.048
-8.1413e+00,1.032,1.008
-8.1336e+00,1.032,1.048
-8.1260e+00,1.032,0.6
-8.1183e+00,0.624,1.048
-8.1106e+00,0.624,0.6
-8.1029e+00,0.624,0.656
-8.0952e+00,0.624,0.6
-8.0876e+00,0.632,0.656
-8.0799e+00,0.624,0.6
-8.0722e+00,0.632,0.648
-8.0645e+00,0.632,0.6
-8.0568e+00,0.632,0.664
-8.0492e+00,0.632,0.6
-8.0415e+00,0.632,0.656
-8.0338e+00,0.632,0.6
-8.0261e+00,0.632,0.664
-8.0184e+00,0.632,0.6
-8.0108e+00,0.632,0.656
-8.0031e+00,0.632,0.608
-7.9954e+00,0.632,0.656
-7.9877e+00,0.632,0.6
-7.9800e+00,0.632,0.664
-7.9724e+00,0.632,0.608
-7.9647e+00,0.632,0.656
-7.9570e+00,0.632,0.608
-7.9493e+00,0.632,0.664
-7.9416e+00,0.632,0.6
-7.9339e+00,0.632,0.664
-7.9263e+00,0.632,0.608
-7.9186e+00,0.632,0.664
-7.9109e+00,0.632,0.608
-7.9032e+00,0.632,0.656
-7.8955e+00,0.632,0.608
-7.8879e+00,0.632,0.664
-7.8802e+00,0.632,0.608
-7.8725e+00,0.632,0.664
-7.8648e+00,0.632,0.608
-7.8571e+00,0.632,0.664
-7.8495e+00,0.632,0.608
-7.8418e+00,0.632,0.664
-7.8341e+00,0.632,0.608
-7.8264e+00,0.632,0.664
-7.8187e+00,0.632,0.608
-7.8111e+00,0.632,0.664
-7.8034e+00,0.632,0.608
-7.7957e+00,0.632,0.664
-7.7880e+00,0.632,0.608
-7.7803e+00,0.632,0.664
-7.7727e+00,0.632,0.608
-7.7650e+00,0.64,0.664
-7.7573e+00,0.632,0.608
-7.7496e+00,0.64,0.672
-7.7419e+00,0.64,0.608
-7.7343e+00,0.64,0.664
-7.7266e+00,0.64,0.608
-7.7189e+00,0.64,0.664
-7.7112e+00,0.64,0.616
-7.7035e+00,0.64,0.672
-7.6959e+00,0.64,0.608
-7.6882e+00,0.64,0.664
-7.6805e+00,0.64,0.616
-7.6728e+00,0.64,0.672
-7.6651e+00,0.64,0.608
-7.6575e+00,0.64,0.664
-7.6498e+00,0.64,0.616
-7.6421e+00,0.64,0.672
-7.6344e+00,0.64,0.616
-7.6267e+00,0.64,0.664
-7.6190e+00,0.64,0.608
-7.6114e+00,0.64,0.672
-7.6037e+00,0.64,0.616
-7.5960e+00,0.64,0.672
-7.5883e+00,0.64,0.616
-7.5806e+00,0.64,0.664
-7.5730e+00,0.64,0.616
-7.5653e+00,0.64,0.672
-7.5576e+00,0.64,0.616
-7.5499e+00,0.64,0.664
-7.5422e+00,0.64,0.616
-7.5346e+00,0.64,0.672
-7.5269e+00,0.64,0.616
-7.5192e+00,0.64,0.672
-7.5115e+00,0.64,0.616
-7.5038e+00,0.64,0.672
